P01901859A0000|0 64|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10329574A1733|0 18|O. novo-ulmi RNA-7
P09790771A0956|0 18|Gng3lg transcripts
P07811639A0222|0 18|Endo16 transcripts
P07891713T0000|0 18|Small Maf proteins
P07929559A0000|0 18|Cytoplasmic dynein
P10557308A0000|0 18|Connector enhancer
P06718064T0001|0 18|Plasma lactoferrin
P07559524A0741|0 18|Cyclin D1 promoter
P08642285A1548|0 18|DNA-STAT complexes
P10872827A0000|0 18|Penicillin acylase
P08268718A0676|0 18|Human bcl3 protein
P01918010A0000|0 18|Lipoprotein lipase
P11207269A0745|0 18|Anti-nucleolin mAb
P08932385T0000|0 18|Small Maf proteins
P08929563T0000|0 18|Rat liver catalase
P03428274A0000|0 18|Nuclear factor III
P00239169T0000|0 17|Dopamine receptor
P02566613T0000|0 17|Somatostatin gene
P10819327T0000|0 17|C. elegans KLP-11
P09353343A0919|0 17|RNA polymerase II
P09819038A0448|0 17|Recombinant FVIIa
P09837913A0000|0 17|Type 2 deiodinase
P10205176A0000|0 17|Nuclear receptors
P01441818T0001|0 17|Interferon type I
P01624425A0907|0 17|Wild-type protein
P00818380A0239|0 17|Rheumatoid factor
P08661007T0000|0 17|Human MN/CA9 gene
P11063169T0000|0 17|Botulinum toxin A
P01310935T0000|0 16|Drosophila UbcD1
P10882850A0000|0 16|Endonuclease III
P10897973T0001|0 16|Antithrombin III
P07575416A0000|0 16|Protein kinase C
P07559233A0534|0 16|Citrate synthase
P08453101A0128|0 16|Pokeweed mitogen
P06402859A0000|0 16|Antithrombin III
P02002051T0000|0 16|Isoform C beta 2
P06702257T0001|0 16|Antithrombin III
P11552922A0361|0 16|CYP2C19 genotype
P10323463T0000b|0 16|Interferon-alpha
P10323463T0000a|0 16|Interferon-alpha
P07791783A0000|0 16|SRY-related cDNA
P09884275T0000|0 16|Interferon-alpha
P10209759T0000|0 16|Antithrombin III
P10094396A0000|0 16|Topoisomerase II
P09525888A1482|0 16|Full-length FLAP
P08654390A0000|0 16|Heme oxygenase 1
P08670910A0156|0 16|DNA polymerase E
P02527365T0000|0 15|Xenopus homolog
P08825554A0000|0 15|Tristetraprolin
P08923470A0458|0 15|PPAR gamma mRNA
P09098899A0000|0 15|Coliphage 186 B
P03143048A1091|0 15|HDL-cholesterol
P09151837A0723|0 15|Rep-Rep protein
P08348919T0000|0 15|Botulinum toxin
P08536694A0000|0 15|Protein kinases
P02535460A1443|0 15|RNA transcripts
P11860876A0409|0 15|HIV-1 C subtype
P06152670T0000|0 15|Plasma secretin
P10490955T0000|0 15|Beta 1 integrin
P10498616A1280|0 15|Mammalian M-Ras
P09914525A0890|0 15|Recombinant Ffh
P10607900T0000|0 15|Sak kinase gene
P09541636T0000|0 15|Creatine kinase
P09606633A0523|0 15|Interferon beta
P03937294A0404|0 15|Plasma secretin
P08663120T0000|0 15|Oncogenic Raf-1
P08226794A0501|0 15|[Ala85]Dk(69-85
P04139081T0001|0 15|HL-A antibodies
P08396749A1112b|0 15|LDL cholesterol
P08396749A1112a|0 15|LDL cholesterol
P00072928T0000|0 14|Serum-ferritin
P05027295T0034|0 14|Cholinesterase
P09427627T0000|0 14|Small-molecule
P11313386A0704|0 14|SH2D1A protein
P09346238T0000|0 14|F-box proteins
P09346938A1680|0 14|Ki-ras4BVal-12
P09630245A0903|0 14|Yeast U1 snRNP
P10505694A0000|0 14|Interleukin-12
P10628750T0000|0 14|Angiotensin II
P09630245A0102|0 14|Yeast U1 snRNP
P10533066A0758|0 14|TSC1 mutations
P10488148T0000|0 14|ERK MAP kinase
P09317131A0000|0 14|Ig heavy chain
P09653641A0471|0 14|Human isoforms
P06513456T0001|0 14|Adenyl cyclase
P07685823A1234|0 14|RNA polymerase
P10850719A0680|0 14|Vbeta segments
P01116466A0185|0 14|Thromboplastin
P02557217A0000|0 14|Beta-endorphin
P08013348A0143|0 14|Mammalian ABPs
P09079928A0525|0 14|M. leprae OxyR
P00748978T0000|0 13|Serum relaxin
P08871567A0000|0 13|MSSP proteins
P09397261A0940|0 13|Interleukin-1
P09452444A0000|0 13|Interleukin-6
P06938948T0001|0 13|Secretory IgA
P10633075A1111|0 13|Preimmune IgG
P11500913A1238|0 13|C/EBPbeta LIP
P09795213A0129|0 13|RBP56 protein
P06802500T0001|0 13|Thyreoliberin
P09763446A0000|0 13|Small GTPases
P10704285A0536|0 13|Human AP-2rep
P09538156A0130|0 13|BRCA1 protein
P09524276A0939|0 13|LysR proteins
P11059786A0682|0 13|VEGF promoter
P07806532A0659|0 13|Protein cHMGI
P09211354A0000|0 13|Stromelysin-1
P11027280A0536|0 13|Cam kinase II
P02943562T0000|0 13|Penicillinase
P08245461A0700|0 13|Hu-Met-1 mRNA
P08508778A0112|0 13|Yeast mutants
P08281536A0626|0 13|Interleukin-6
P07519606A1269|0 13|Anti-NPROSP-C
P07518426A0000|0 13|Interleukin-8
P07779558T0000|0 13|Muscle GSH-Px
P01317376A0981|0 12|Fructokinase
P09148770A0977|0 12|Cellular Csk
P01827068T0000|0 12|Human GATA-3
P07018810A0002|0 12|Plasma renin
P06429992T0000|0 12|Gonadotropin
P09395470A0294|0 12|CKbeta4GT-II
P09418040T0000|0 12|Mg-chelatase
P03027905A0632|0 12|Plasma renin
P06362143A0565|0 12|Plasma renin
P11116084A0000|0 12|Mouse Impact
P08997490A1127|0 12|C/EBP beta V
P08575614A0264|0 12|Rad6 mutants
P03319646T0000|0 12|Plasma renin
P09819421A0000|0 12|Cyclophilins
P11279038A0194|0 12|WRN helicase
P09852136A0507|0 12|Wild type HA
P09478976T0000|0 12|Oncostatin M
P10428811A1067|0 12|Cat proteins
P09642227A0000|0 12|Osteoadherin
P10446131A0132|0 12|PDGF A-chain
P10551816A0162|0 12|Human LTBP-1
P09544991A0483|0 12|PRL receptor
P09533030T0000|0 12|Cytochrome b
P00676790T0000|0 11|Angiotensin
P08144037A0000|0 11|Thioredoxin
P02542612A0530|0 11|S1 nuclease
P10748125A0000|0 11|Inhibitor-1
P08356792T0000|0 11|HTLV-1 gene
P03015628A1078|0 11|Osteocalcin
P03127463A1017|0 11|Human rIL-3
P08555498A0427|0 11|Human LAF-4
P06797063A0000|0 11|Factor VIII
P10322022A0263|0 11|Rep63A (513
P02529378A0536|0 11|S1 nuclease
P01526658A0454|0 11|IFI 16 mRNA
P09790768A0621|0 11|Htra2-beta3
P02449431A1121|0 11|ATP gamma S
P10489680A0927|0 11|Sputum IL-8
P09368026A0000|0 11|Osteocalcin
P07959011A0379b|0 11|C/EBP alpha
P07959011A0379a|0 11|C/EBP alpha
P11560990A0272|0 11|E47 protein
P08702543A0000|0 11|Gap1(IP4BP)
P02303158T0000|0 11|Thyrotropin
P08118044A0318|0 11|GATA-1 mRNA
P03499657A0000|0 11|Osteocalcin
P09050849A0000|0 11|Cytohesin-1
P08106369A0000|0 11|Vasopressin
P10344736A0796|0 11|CDK4 kinase
P08923460A0565|0 11|RUSH-1 beta
P00054900A0226|0 10|Peroxydase
P08264664A0128|0 10|TGF beta 1
P09813098A0521|0 10|Paralemmin
P09677405A0856|0 10|Pol32Delta
P09704006A0224|0 10|Arnt3 mRNA
P10531446A0203|0 10|Neuregulin
P09693035T0000|0 10|Human ULK1
P09651321A0000|0 10|Cystatin A
P09368760A0665|0 10|Human PDK1
P09242551A0653|0 10|EBER1 mRNA
P11433024A0260|0 10|Telomerase
P09225998A0000|0 10|NF-kappa B
P10744026A0000|0 10|Invertases
P10840001A0188|0 10|Mucin gene
P08321203A0840|0 10|NF-kappa B
P01864510A0946|0 10|Dd PK1 RNA
P06110026T0000|0 10|Endorphins
P11137296A1216|0 10|PFK-A mRNA
P11131634A0955|0 10|NF kappa B
P11123316T0000|0 10|Tec kinase
P07635572A1153|0 10|CIITA mRNA
P07565669T0000|0 10|Ras p21Val
P07293327T0001|0 10|Fibrinogen
P09079625A0935|0 10|Syndecan-4
P06977605T0000|0 10|Endorphins
P11311980A1049|0 10|GABA(B)R1g
P01695905A0480|0 10|GLUT5 mRNA
P11350957A0457|0 10|PACAP mRNA
P08634420A1784|0 10|HuEpo-R Ab
P08626437A0332|0 10|Lyn kinase
P01380062A0097|0 9|T antigen
P02236064A1178|0 9|S6 kinase
P07652582A0000|0 9|INF-alpha
P04563045T0000|0 9|1,3-bis(2
P02144610A1306|0 9|TCR alpha
P08808707A0631|0 9|Ha-RasV12
P09916809A0405|0 9|Human MGP
P09933428A0351|0 9|IFN-gamma
P10373507A0680|0 9|SRFDelta5
P10384129A0000|0 9|TCR alpha
P09111314A0970|0 9|Cyclin D1
P10553551A0000|0 9|Factor XI
P10429184A0000|0 9|Expansins
P08812106T0000|0 9|PCNA mRNA
P09776360A1781|0 9|NF-kappaB
P11312120A1311|0 9|NF-kappaB
P10523674A0000|0 9|RNase MRP
P09436795A0350|0 9|Protein C
P10488148A0111|0 9|NF-kappaB
P11529914T0000|0 9|NF-kappaB
P01588965A0000|0 9|GCR1 gene
P09716179A0974|0 9|RXR-gamma
P09393771A1659|0 9|TNF-alpha
P09420234A0654|0 9|MpB GroEL
P11063742A0000|0 9|NF-kappaB
P09506439A2179|0 9|PKC-gamma
P09139721A0183|0 9|Cyclin G2
P10946303A0000|0 9|TNF-alpha
P09285789A0712|0 9|Human Duo
P09139694A0789|0 9|CTF1alpha
P08643578A0000|0 9|RAS2val19
P07535768A1076|0 9|HVH2 mRNA
P08306959A0278|0 9|IFN alpha
P01916632A0431|0 8|Anti-HBc
P10620777A1399|0 8|AB004534
P10464291A0597|0 8|IL-1beta
P10544113A0293|0 8|EIAV LTR
P03371894A0355|0 8|Vimentin
P09845662A0085|0 8|Collagen
P11836303A0518|0 8|TNFalpha
P10713176A0885|0 8|D-cyclin
P10713176A0422|0 8|Cyclin A
P10749932A0000|0 8|Paxillin
P11239529A0981|0 8|IL-1beta
P02444507A0240|0 8|Lysozyme
P09254678A0106|0 8|Gtx mRNA
P10641037A1371|0 8|AF154055
P08454858A0285|0 8|Ig-alpha
P10215594A1728|0 8|Glucagon
P11119611A0428|0 8|ORFK10.5
P09920930A0521|0 8|C3 toxin
P00083846T0000|0 7|Albumin
P07835273A0000|0 7|Insulin
P09169593T0000|0 7|Insulin
P10562418A0238|0 7|Insulin
P09211934A0722|0 7|DNase I
P10329736A1106|0 7|Insulin
P10350638A0000|0 7|Latexin
P10613816X0000|0 7|Statins
P10385915A1341|0 7|D3S1261
P10604583T0000|0 7|Albumin
P09185183T0000|0 7|Merosin
P10773458A0000|0 7|SNAP-23
P10542249A0415|0 7|Albumin
P08617800A0675|0 7|DNase I
P10743608A1154|0 7|TbRAB31
P11094072A0842|0 7|DNase I
P10441506A0098|0 7|PKNbeta
P10228155A1293|0 7|SCFFWD1
P11112700A1936|0 7|Plectin
P08628251A1455|0 7|CM-ACO3
P08476854A0097|0 7|DNase I
P08625806A0263|0 7|Krox-20
P09789025A0149|0 7|Galphaq
P11314046A0000|0 7|Cyclins
P07293100T0001|0 7|Gastrin
P09705324A0213|0 7|DNase I
P02113174A0957|0 7|Krox-24
P09712037A0470|0 7|Tctex-1
P07693672A0259|0 7|DNase I
P09271394A0558|0 7|DNase I
P06810694A1000|0 7|Apo A-I
P08093616A1214|0 7|DNase I
P01081904A0198|0 6|Fibrin
P09187136A0000|0 6|SSeCKS
P01480470A0323|0 6|BiP670
P01328219A1397|0 6|NSCL-1
P02830265A0341|0 6|RPA190
P01691184A0995|0 6|Gap b3
P08534367A0984|0 6|PTP-S3
P06233924T0000|0 6|Fibrin
P02320008A0651|0 6|TMBr-1
P08648665A1320|0 6|ORF E8
P09223479A1193|0 6|ORF M1
P10653697A0133|0 6|Actins
P09328476A0374|0 6|Hprp3p
P08647884A0547|0 6|E3/19K
P06395804A0382|0 6|Urease
P10684967A0000|0 6|NKX2.1
P10551788A0229|0 6|LHbeta
P10851267A0000|0 6|E2F -1
P10905349A0329|0 6|Mus81p
P10712512A0506|0 6|Ste18p
P10339566A0602|0 6|Spc42p
P10433970A0279|0 6|Spfkh1
P10473598A0691|0 6|Skn-1a
P06322183A1070|0 6|NPT II
P01394655A0615b|0 6|Urease
P07816049A0686|0 6|Atcys1
P11223257A0404|0 6|OsBBPI
P11220306A0911|0 6|HexA71
P09837933T0000|0 6|P-CIP1
P08927612T0000|0 6|Ki-ras
P08134115A1161|0 6|MSSP-1
P09001245A0187|0 6|NUP145
P09535835A0279|0 6|ROCK-I
P09761723A0226|0 6|GETS-1
P11413310A0148|0 6|RANTES
P11413148A0573|0 6|STAT5A
P11589779T0000|0 6|HTLV-1
P11578685A0077|0 6|ICAM-1
P09414319A1442|0 6|Y15170
P09651375T0000|0 6|GTPase
P01649318A0734|0 6|EBNA-2
P01502157A0000|0 5|ME1a1
P01695322A0000|0 5|Wnt-1
P01581577A1186|0 5|PSI-G
P01731933T0000b|0 5|Zn(II
P08504933A0000|0 5|Pit-1
P08522175A0306|0 5|Egd1p
P08344248A0910|0 5|GAP-N
P08575618A1138|0 5|RNase
P08576245A0000|0 5|GRP78
P08552095A1115|0 5|Paf1p
P08666913A0000|0 5|Ly-49
P08497273T0000|0 5|NF-HB
P08627667A0132|0 5|ZEBRA
P01731933T0000a|0 5|Zn(II
P10653359A1297|0 5|Scmh1
P05362866T0000|0 5|Renin
P10698937T0000|0 5|TIP30
P10675610A0279|0 5|MSSPs
P10908364A0000|0 5|G-DNA
P10915780A1063|0 5|Wnt-1
P10891266A0421|0 5|ACE-2
P11000250A0200|0 5|LMP-1
P10807903A0362|0 5|D5/D1
P11046148A0716|0 5|LMP2A
P10358075A0984|0 5|DAF16
P10505694A0739|0 5|IL-12
P10518502T0000|0 5|nos-1
P10400757A0000|0 5|CXCR4
P10446149A0809|0 5|M-Ras
P11264176A0181|0 5|B-myb
P10407985A0574|0 5|G-CSF
P11361493T0000|0 5|HIV-1
P11358962A0344|0 5|Foxp1
P11331604A0267|0 5|Srb10
P10477597A0126|0 5|TRAF2
P11517269A0472|0 5|Pitx2
P10394900A1166|0 5|G-box
P10428811A0628|0 5|Cat-1
P10359603A0430|0 5|Vac1p
P07579328A0653|0 5|MZF-1
P09857197A0289|0 5|Yap1p
P08887661A0138|0 5|IRF-1
P10233147A0218|0 5|Ras2p
P09848653A0597|0 5|Nhp2p
P09891085A0815|0 5|Nip7p
P09002648A0202|0 5|BCL-2
P09882303A1413|0 5|TRAF2
P09797456A0883|0 5|AMY-1
P09792627A0441|0 5|SRC-1
P08977235A0134|0 5|G-CSF
P08898365A0274|0 5|Rss1p
P09058373A0670|0 5|RNase
P09468386A0594|0 5|Pet-1
P09710615T0000|0 5|Vam7p
P09704927A0479|0 5|E2F-6
P09528758T0000|0 5|Rex-1
P09257887A0457|0 5|G-CSF
P09584165T0000|0 5|RACK1
P09650299A0000|0 5|VirD2
P09502720A0214|0 5|CyIIa
P09407036T0000|0 5|Tcn1p
P09244350A0000|0 5|BRCA1
P09065690A0463|0 5|Ume6p
P09353255A0159|0 5|Rip1p
P08898336A0268|0 5|RNase
P07959953A0423|0 5|IFI16
P09169853A0000|0 5|Pax-3
P09121476T0000|0 5|PRH75
P07679390A0721|0 5|RNase
P07678006A0472|0 5|RNase
P06775834A0000|0 5|HLA-A
P08070654A0574|0 5|CDC31
P07542616A0486|0 5|GCD10
P08204348T0000|0 5|VP-16
P08196618A0473|0 5|PRL-1
P07542616A0313|0 5|GCD10
P01727488A1146|0 5|PRDII
P07871891A0227|0 5|SUP46
P07888623A0721|0 5|PMEK1
P02204029A0184|0 5|RNase
P03785212A1128|0 5|RPS14
P07972831A0563|0 5|PAI-1
P02196176A0749|0 5|TREB7
P08005438A1185|0 5|SPP41
P08072547T0000|0 5|c-Fos
P08048916A0000|0 5|IGF I
P00030937A0119|0 4|SGPT
P08106325A0000|0 4|DtxR
P08223613A0105|0 4|GGS1
P10564474T0000|0 4|PhoP
P08070654A0000|0 4|KAR1
P10640683A0204|0 4|NDRF
P07957085A0207|0 4|Cbf3
P10721717A0676|0 4|Fgd3
P10722661A0146|0 4|CYC2
P10779329T0000|0 4|Slap
P10947840A0762|0 4|Mis3
P10931950A0869|0 4|Cdk2
P10894149T0000|0 4|PNRC
P10850329A0248|0 4|IL-2
P11056019A0926|0 4|MED1
P11113201A1114|0 4|Pmt2
P11108720A0124|0 4|S6K2
P11016954A0438|0 4|AGO1
P10810294A0730|0 4|Stat
P10557072A0418|0 4|ULKs
P10735848A1440|0 4|RegA
P11274184A0000|0 4|Nrf2
P10742114A0486|0 4|Dll3
P11287654A0150|0 4|PABP
P11263664T0000|0 4|SIP1
P11387208T0000|0 4|SKP1
P11331596A0710|0 4|Prrp
P11560992A0651|0 4|SAPK
P10594239A0614|0 4|Tih1
P11559366T0000|0 4|E2F1
P11473261A0587|0 4|Mss4
P11473254A0000|0 4|NaeI
P08510647A1347|0 4|Beg2
P08509335T0000|0 4|SSG1
P08552670A0665|0 4|Abp1
P10544037A0617|0 4|FZD4
P10490843A0159|0 4|BCL6
P08649372A0501|0 4|Clb2
P10490826T0000|0 4|EB-1
P08532536A0925|0 4|TIEG
P10438950A0580|0 4|IL-1
P10478848A0331|0 4|SF-1
P10487921A0132|0 4|ATF1
P10487762A0252|0 4|NuA4
P10430421T0000|0 4|APOE
